Datetime,Forecasted_AEP_MW
2018-08-03 01:00:00,16776.8
2018-08-03 02:00:00,15921.752
2018-08-03 03:00:00,15127.423
2018-08-03 04:00:00,14470.26
2018-08-03 05:00:00,14011.435
2018-08-03 06:00:00,13869.057
2018-08-03 07:00:00,14069.649
2018-08-03 08:00:00,14604.057
2018-08-03 09:00:00,15396.895
2018-08-03 10:00:00,16354.3
2018-08-03 11:00:00,17418.432
2018-08-03 12:00:00,18469.328
2018-08-03 13:00:00,19365.807
2018-08-03 14:00:00,20042.201
2018-08-03 15:00:00,20503.27
2018-08-03 16:00:00,20797.35
2018-08-03 17:00:00,20866.441
2018-08-03 18:00:00,20686.127
2018-08-03 19:00:00,20305.209
2018-08-03 20:00:00,19857.645
2018-08-03 21:00:00,19379.725
2018-08-03 22:00:00,18837.555
2018-08-03 23:00:00,18161.143
2018-08-04 00:00:00,17394.166
2018-08-04 01:00:00,16497.828
2018-08-04 02:00:00,15568.169
2018-08-04 03:00:00,14757.61
2018-08-04 04:00:00,14103.355
2018-08-04 05:00:00,13633.801
2018-08-04 06:00:00,13477.038
2018-08-04 07:00:00,13684.285
2018-08-04 08:00:00,14206.697
2018-08-04 09:00:00,15009.493
2018-08-04 10:00:00,15966.307
2018-08-04 11:00:00,17024.443
2018-08-04 12:00:00,18010.035
2018-08-04 13:00:00,18856.408
2018-08-04 14:00:00,19505.023
2018-08-04 15:00:00,19962.674
2018-08-04 16:00:00,20240.63
2018-08-04 17:00:00,20297.906
2018-08-04 18:00:00,20126.379
2018-08-04 19:00:00,19783.635
2018-08-04 20:00:00,19378.398
2018-08-04 21:00:00,18916.031
2018-08-04 22:00:00,18367.92
2018-08-04 23:00:00,17684.725
2018-08-05 00:00:00,16867.041
2018-08-05 01:00:00,15928.204
2018-08-05 02:00:00,14952.08
2018-08-05 03:00:00,14103.989
2018-08-05 04:00:00,13450.208
2018-08-05 05:00:00,13031.872
2018-08-05 06:00:00,12909.939
2018-08-05 07:00:00,13111.471
2018-08-05 08:00:00,13632.98
2018-08-05 09:00:00,14432.374
2018-08-05 10:00:00,15413.081
2018-08-05 11:00:00,16470.05
2018-08-05 12:00:00,17435.842
2018-08-05 13:00:00,18235.498
2018-08-05 14:00:00,18837.967
2018-08-05 15:00:00,19231.887
2018-08-05 16:00:00,19496.207
2018-08-05 17:00:00,19553.402
2018-08-05 18:00:00,19387.521
2018-08-05 19:00:00,19071.875
2018-08-05 20:00:00,18690.432
2018-08-05 21:00:00,18245.705
2018-08-05 22:00:00,17687.424
2018-08-05 23:00:00,16977.773
2018-08-06 00:00:00,16136.82
2018-08-06 01:00:00,15200.072
2018-08-06 02:00:00,14273.39
2018-08-06 03:00:00,13460.719
2018-08-06 04:00:00,12814.545
2018-08-06 05:00:00,12426.576
2018-08-06 06:00:00,12306.531
2018-08-06 07:00:00,12520.29
2018-08-06 08:00:00,13042.668
2018-08-06 09:00:00,13836.4795
2018-08-06 10:00:00,14787.881
2018-08-06 11:00:00,15807.3545
2018-08-06 12:00:00,16764.254
2018-08-06 13:00:00,17551.602
2018-08-06 14:00:00,18135.48
2018-08-06 15:00:00,18530.77
2018-08-06 16:00:00,18817.184
2018-08-06 17:00:00,18878.22
2018-08-06 18:00:00,18715.607
2018-08-06 19:00:00,18408.164
2018-08-06 20:00:00,18058.719
2018-08-06 21:00:00,17649.588
2018-08-06 22:00:00,17143.36
2018-08-06 23:00:00,16504.455
2018-08-07 00:00:00,15688.326
2018-08-07 01:00:00,14770.613
2018-08-07 02:00:00,13863.53
2018-08-07 03:00:00,13055.371
2018-08-07 04:00:00,12418.363
2018-08-07 05:00:00,12030.693
2018-08-07 06:00:00,11953.281
2018-08-07 07:00:00,12204.571
2018-08-07 08:00:00,12791.051
2018-08-07 09:00:00,13596.783
2018-08-07 10:00:00,14539.2705
2018-08-07 11:00:00,15599.3545
2018-08-07 12:00:00,16599.61
2018-08-07 13:00:00,17418.473
2018-08-07 14:00:00,18072.295
2018-08-07 15:00:00,18563.973
2018-08-07 16:00:00,18881.479
2018-08-07 17:00:00,18993.855
2018-08-07 18:00:00,18826.115
2018-08-07 19:00:00,18531.453
2018-08-07 20:00:00,18167.617
2018-08-07 21:00:00,17738.912
2018-08-07 22:00:00,17193.814
2018-08-07 23:00:00,16533.51
2018-08-08 00:00:00,15756.645
2018-08-08 01:00:00,14904.17
2018-08-08 02:00:00,14033.969
2018-08-08 03:00:00,13239.322
2018-08-08 04:00:00,12599.25
2018-08-08 05:00:00,12217.952
2018-08-08 06:00:00,12167.484
2018-08-08 07:00:00,12438.772
2018-08-08 08:00:00,13024.982
2018-08-08 09:00:00,13873.118
2018-08-08 10:00:00,14852.706
2018-08-08 11:00:00,15969.067
2018-08-08 12:00:00,17045.852
2018-08-08 13:00:00,17966.982
2018-08-08 14:00:00,18652.443
2018-08-08 15:00:00,19110.22
2018-08-08 16:00:00,19412.299
2018-08-08 17:00:00,19501.27
2018-08-08 18:00:00,19323.016
2018-08-08 19:00:00,19003.688
2018-08-08 20:00:00,18614.668
2018-08-08 21:00:00,18132.096
2018-08-08 22:00:00,17583.78
2018-08-08 23:00:00,16967.234
2018-08-09 00:00:00,16240.397
2018-08-09 01:00:00,15450.358
2018-08-09 02:00:00,14628.415
2018-08-09 03:00:00,13863.57
2018-08-09 04:00:00,13236.72
2018-08-09 05:00:00,12860.8125
2018-08-09 06:00:00,12820.406
2018-08-09 07:00:00,13099.933
2018-08-09 08:00:00,13692.976
2018-08-09 09:00:00,14528.381
2018-08-09 10:00:00,15512.36
2018-08-09 11:00:00,16643.332
2018-08-09 12:00:00,17750.486
2018-08-09 13:00:00,18692.35
2018-08-09 14:00:00,19395.492
2018-08-09 15:00:00,19846.287
2018-08-09 16:00:00,20125.84
2018-08-09 17:00:00,20194.016
2018-08-09 18:00:00,20003.467
2018-08-09 19:00:00,19662.77
2018-08-09 20:00:00,19222.164
2018-08-09 21:00:00,18752.438
2018-08-09 22:00:00,18213.605
2018-08-09 23:00:00,17605.271
2018-08-10 00:00:00,16888.334
2018-08-10 01:00:00,16049.643
2018-08-10 02:00:00,15201.266
2018-08-10 03:00:00,14407.194
2018-08-10 04:00:00,13760.304
2018-08-10 05:00:00,13349.812
2018-08-10 06:00:00,13242.371
2018-08-10 07:00:00,13498.371
2018-08-10 08:00:00,14059.071
2018-08-10 09:00:00,14874.922
2018-08-10 10:00:00,15841.465
2018-08-10 11:00:00,16914.787
2018-08-10 12:00:00,17950.566
2018-08-10 13:00:00,18815.781
2018-08-10 14:00:00,19497.953
2018-08-10 15:00:00,19954.7
2018-08-10 16:00:00,20239.756
2018-08-10 17:00:00,20311.28
2018-08-10 18:00:00,20125.996
2018-08-10 19:00:00,19787.0
2018-08-10 20:00:00,19353.602
2018-08-10 21:00:00,18896.096
2018-08-10 22:00:00,18339.775
2018-08-10 23:00:00,17689.297
2018-08-11 00:00:00,16930.848
2018-08-11 01:00:00,16026.3
2018-08-11 02:00:00,15124.183
2018-08-11 03:00:00,14333.51
2018-08-11 04:00:00,13685.21
2018-08-11 05:00:00,13250.831
2018-08-11 06:00:00,13139.568
2018-08-11 07:00:00,13342.263
2018-08-11 08:00:00,13891.787
2018-08-11 09:00:00,14708.116
2018-08-11 10:00:00,15682.454
2018-08-11 11:00:00,16735.58
2018-08-11 12:00:00,17706.11
2018-08-11 13:00:00,18543.992
2018-08-11 14:00:00,19178.174
2018-08-11 15:00:00,19615.463
2018-08-11 16:00:00,19913.215
2018-08-11 17:00:00,19960.67
2018-08-11 18:00:00,19777.295
2018-08-11 19:00:00,19458.55
2018-08-11 20:00:00,19053.943
2018-08-11 21:00:00,18608.418
2018-08-11 22:00:00,18073.1
2018-08-11 23:00:00,17406.865
2018-08-12 00:00:00,16595.451
2018-08-12 01:00:00,15637.947
2018-08-12 02:00:00,14675.984
2018-08-12 03:00:00,13809.893
2018-08-12 04:00:00,13155.2
2018-08-12 05:00:00,12741.797
2018-08-12 06:00:00,12637.154
2018-08-12 07:00:00,12837.78
2018-08-12 08:00:00,13361.66
2018-08-12 09:00:00,14176.092
2018-08-12 10:00:00,15164.494
2018-08-12 11:00:00,16212.014
2018-08-12 12:00:00,17181.73
2018-08-12 13:00:00,17982.086
2018-08-12 14:00:00,18576.95
2018-08-12 15:00:00,18993.682
2018-08-12 16:00:00,19288.037
2018-08-12 17:00:00,19347.36
2018-08-12 18:00:00,19184.797
2018-08-12 19:00:00,18916.898
2018-08-12 20:00:00,18562.502
2018-08-12 21:00:00,18154.22
2018-08-12 22:00:00,17635.717
2018-08-12 23:00:00,16957.57
2018-08-13 00:00:00,16095.919
2018-08-13 01:00:00,15133.569
2018-08-13 02:00:00,14156.2
2018-08-13 03:00:00,13290.431
2018-08-13 04:00:00,12636.76
2018-08-13 05:00:00,12237.2295
2018-08-13 06:00:00,12137.623
2018-08-13 07:00:00,12384.948
2018-08-13 08:00:00,12943.6045
2018-08-13 09:00:00,13766.04
2018-08-13 10:00:00,14741.871
2018-08-13 11:00:00,15795.494
2018-08-13 12:00:00,16745.096
2018-08-13 13:00:00,17518.654
2018-08-13 14:00:00,18120.535
2018-08-13 15:00:00,18539.055
2018-08-13 16:00:00,18818.018
2018-08-13 17:00:00,18883.611
2018-08-13 18:00:00,18695.166
2018-08-13 19:00:00,18384.828
2018-08-13 20:00:00,17979.404
2018-08-13 21:00:00,17563.102
2018-08-13 22:00:00,17040.35
2018-08-13 23:00:00,16381.854
2018-08-14 00:00:00,15555.259
2018-08-14 01:00:00,14632.638
2018-08-14 02:00:00,13702.025
2018-08-14 03:00:00,12891.616
2018-08-14 04:00:00,12236.938
2018-08-14 05:00:00,11821.644
2018-08-14 06:00:00,11729.848
2018-08-14 07:00:00,11997.431
2018-08-14 08:00:00,12570.346
2018-08-14 09:00:00,13422.736
2018-08-14 10:00:00,14357.202
2018-08-14 11:00:00,15421.47
2018-08-14 12:00:00,16399.895
2018-08-14 13:00:00,17195.45
2018-08-14 14:00:00,17836.416
2018-08-14 15:00:00,18254.266
2018-08-14 16:00:00,18545.793
2018-08-14 17:00:00,18616.113
2018-08-14 18:00:00,18442.238
2018-08-14 19:00:00,18136.555
2018-08-14 20:00:00,17788.38
2018-08-14 21:00:00,17358.354
2018-08-14 22:00:00,16805.885
2018-08-14 23:00:00,16146.454
2018-08-15 00:00:00,15357.291
2018-08-15 01:00:00,14493.836
2018-08-15 02:00:00,13619.73
2018-08-15 03:00:00,12833.257
2018-08-15 04:00:00,12196.841
2018-08-15 05:00:00,11809.09
2018-08-15 06:00:00,11756.112
2018-08-15 07:00:00,12044.445
2018-08-15 08:00:00,12632.709
2018-08-15 09:00:00,13469.336
2018-08-15 10:00:00,14447.148
2018-08-15 11:00:00,15561.017
2018-08-15 12:00:00,16651.273
2018-08-15 13:00:00,17553.695
2018-08-15 14:00:00,18253.822
2018-08-15 15:00:00,18714.576
2018-08-15 16:00:00,19028.479
2018-08-15 17:00:00,19146.016
2018-08-15 18:00:00,18975.662
2018-08-15 19:00:00,18686.633
2018-08-15 20:00:00,18304.178
2018-08-15 21:00:00,17845.531
2018-08-15 22:00:00,17286.822
2018-08-15 23:00:00,16645.717
2018-08-16 00:00:00,15923.381
2018-08-16 01:00:00,15103.925
2018-08-16 02:00:00,14267.587
2018-08-16 03:00:00,13484.909
2018-08-16 04:00:00,12849.945
2018-08-16 05:00:00,12453.996
2018-08-16 06:00:00,12360.187
2018-08-16 07:00:00,12616.184
2018-08-16 08:00:00,13172.287
2018-08-16 09:00:00,13960.487
2018-08-16 10:00:00,14932.655
2018-08-16 11:00:00,16048.065
2018-08-16 12:00:00,17116.098
2018-08-16 13:00:00,18048.826
2018-08-16 14:00:00,18757.139
2018-08-16 15:00:00,19254.445
2018-08-16 16:00:00,19586.338
2018-08-16 17:00:00,19699.479
2018-08-16 18:00:00,19564.922
2018-08-16 19:00:00,19264.943
2018-08-16 20:00:00,18866.428
2018-08-16 21:00:00,18407.363
2018-08-16 22:00:00,17877.38
2018-08-16 23:00:00,17261.135
2018-08-17 00:00:00,16538.451
2018-08-17 01:00:00,15707.041
2018-08-17 02:00:00,14882.435
2018-08-17 03:00:00,14136.559
2018-08-17 04:00:00,13520.373
2018-08-17 05:00:00,13105.031
2018-08-17 06:00:00,13025.802
2018-08-17 07:00:00,13238.034
2018-08-17 08:00:00,13789.485
2018-08-17 09:00:00,14608.891
2018-08-17 10:00:00,15548.392
2018-08-17 11:00:00,16599.475
2018-08-17 12:00:00,17585.51
2018-08-17 13:00:00,18445.389
2018-08-17 14:00:00,19104.555
2018-08-17 15:00:00,19535.264
2018-08-17 16:00:00,19805.76
2018-08-17 17:00:00,19869.326
2018-08-17 18:00:00,19725.844
2018-08-17 19:00:00,19430.002
2018-08-17 20:00:00,19022.1
2018-08-17 21:00:00,18572.184
2018-08-17 22:00:00,18052.438
2018-08-17 23:00:00,17419.691
2018-08-18 00:00:00,16683.979
2018-08-18 01:00:00,15825.568
2018-08-18 02:00:00,14943.676
2018-08-18 03:00:00,14157.884
2018-08-18 04:00:00,13519.811
2018-08-18 05:00:00,13106.782
2018-08-18 06:00:00,12985.107
2018-08-18 07:00:00,13227.779
2018-08-18 08:00:00,13781.089
2018-08-18 09:00:00,14635.726
2018-08-18 10:00:00,15635.779
2018-08-18 11:00:00,16673.287
2018-08-18 12:00:00,17650.602
2018-08-18 13:00:00,18464.797
2018-08-18 14:00:00,19056.64
2018-08-18 15:00:00,19463.98
2018-08-18 16:00:00,19748.322
2018-08-18 17:00:00,19836.107
2018-08-18 18:00:00,19687.89
2018-08-18 19:00:00,19409.576
2018-08-18 20:00:00,19024.135
2018-08-18 21:00:00,18591.744
2018-08-18 22:00:00,18062.5
2018-08-18 23:00:00,17398.086
2018-08-19 00:00:00,16607.29
2018-08-19 01:00:00,15675.123
2018-08-19 02:00:00,14733.577
2018-08-19 03:00:00,13880.461
2018-08-19 04:00:00,13223.167
2018-08-19 05:00:00,12836.502
2018-08-19 06:00:00,12734.838
2018-08-19 07:00:00,12950.406
2018-08-19 08:00:00,13470.243
2018-08-19 09:00:00,14264.23
2018-08-19 10:00:00,15244.619
2018-08-19 11:00:00,16275.833
2018-08-19 12:00:00,17228.326
2018-08-19 13:00:00,18005.62
2018-08-19 14:00:00,18572.225
2018-08-19 15:00:00,18975.404
2018-08-19 16:00:00,19264.072
2018-08-19 17:00:00,19362.553
2018-08-19 18:00:00,19234.922
2018-08-19 19:00:00,18980.082
2018-08-19 20:00:00,18621.791
2018-08-19 21:00:00,18198.098
2018-08-19 22:00:00,17700.314
2018-08-19 23:00:00,17015.986
2018-08-20 00:00:00,16169.576
2018-08-20 01:00:00,15225.129
2018-08-20 02:00:00,14309.499
2018-08-20 03:00:00,13482.775
2018-08-20 04:00:00,12854.03
2018-08-20 05:00:00,12457.636
2018-08-20 06:00:00,12362.635
2018-08-20 07:00:00,12578.552
2018-08-20 08:00:00,13108.028
2018-08-20 09:00:00,13898.386
2018-08-20 10:00:00,14843.676
2018-08-20 11:00:00,15848.207
2018-08-20 12:00:00,16757.488
2018-08-20 13:00:00,17501.82
2018-08-20 14:00:00,18057.932
2018-08-20 15:00:00,18462.762
2018-08-20 16:00:00,18732.658
2018-08-20 17:00:00,18822.078
2018-08-20 18:00:00,18672.277
2018-08-20 19:00:00,18409.014
2018-08-20 20:00:00,18085.502
2018-08-20 21:00:00,17710.412
2018-08-20 22:00:00,17194.266
2018-08-20 23:00:00,16541.877
2018-08-21 00:00:00,15728.667
2018-08-21 01:00:00,14830.269
2018-08-21 02:00:00,13938.991
2018-08-21 03:00:00,13170.986
2018-08-21 04:00:00,12550.767
2018-08-21 05:00:00,12169.898
2018-08-21 06:00:00,12103.004
2018-08-21 07:00:00,12378.415
2018-08-21 08:00:00,12947.563
2018-08-21 09:00:00,13770.116
2018-08-21 10:00:00,14706.112
2018-08-21 11:00:00,15727.404
2018-08-21 12:00:00,16692.393
2018-08-21 13:00:00,17508.473
2018-08-21 14:00:00,18128.555
2018-08-21 15:00:00,18591.488
2018-08-21 16:00:00,18928.332
2018-08-21 17:00:00,19000.172
2018-08-21 18:00:00,18833.79
2018-08-21 19:00:00,18562.389
2018-08-21 20:00:00,18218.78
2018-08-21 21:00:00,17822.133
2018-08-21 22:00:00,17298.658
2018-08-21 23:00:00,16664.55
2018-08-22 00:00:00,15914.271
2018-08-22 01:00:00,15057.915
2018-08-22 02:00:00,14256.046
2018-08-22 03:00:00,13429.02
2018-08-22 04:00:00,12793.103
2018-08-22 05:00:00,12393.738
2018-08-22 06:00:00,12321.42
2018-08-22 07:00:00,12595.275
2018-08-22 08:00:00,13159.817
2018-08-22 09:00:00,13986.857
2018-08-22 10:00:00,14938.074
2018-08-22 11:00:00,16003.772
2018-08-22 12:00:00,17015.072
2018-08-22 13:00:00,17906.703
2018-08-22 14:00:00,18564.125
2018-08-22 15:00:00,19002.783
2018-08-22 16:00:00,19273.021
2018-08-22 17:00:00,19341.031
2018-08-22 18:00:00,19179.838
2018-08-22 19:00:00,18903.836
2018-08-22 20:00:00,18546.78
2018-08-22 21:00:00,18114.979
2018-08-22 22:00:00,17580.541
2018-08-22 23:00:00,16968.701
2018-08-23 00:00:00,16277.485
2018-08-23 01:00:00,15466.813
2018-08-23 02:00:00,14642.015
2018-08-23 03:00:00,13851.331
2018-08-23 04:00:00,13228.943
2018-08-23 05:00:00,12862.839
2018-08-23 06:00:00,12824.329
2018-08-23 07:00:00,13117.574
2018-08-23 08:00:00,13675.219
2018-08-23 09:00:00,14480.618
2018-08-23 10:00:00,15446.943
2018-08-23 11:00:00,16522.795
2018-08-23 12:00:00,17581.809
2018-08-23 13:00:00,18470.72
2018-08-23 14:00:00,19162.254
2018-08-23 15:00:00,19606.113
2018-08-23 16:00:00,19894.06
2018-08-23 17:00:00,19983.447
2018-08-23 18:00:00,19811.994
2018-08-23 19:00:00,19518.316
2018-08-23 20:00:00,19102.225
2018-08-23 21:00:00,18642.408
2018-08-23 22:00:00,18116.877
2018-08-23 23:00:00,17518.67
2018-08-24 00:00:00,16802.244
2018-08-24 01:00:00,15989.981
2018-08-24 02:00:00,15177.704
2018-08-24 03:00:00,14425.748
2018-08-24 04:00:00,13847.807
2018-08-24 05:00:00,13446.798
2018-08-24 06:00:00,13354.116
2018-08-24 07:00:00,13605.479
2018-08-24 08:00:00,14173.157
2018-08-24 09:00:00,14960.22
2018-08-24 10:00:00,15891.444
2018-08-24 11:00:00,16909.97
2018-08-24 12:00:00,17894.12
2018-08-24 13:00:00,18729.941
2018-08-24 14:00:00,19385.523
2018-08-24 15:00:00,19821.367
2018-08-24 16:00:00,20091.797
2018-08-24 17:00:00,20175.137
2018-08-24 18:00:00,20031.902
2018-08-24 19:00:00,19740.654
2018-08-24 20:00:00,19351.723
2018-08-24 21:00:00,18907.086
2018-08-24 22:00:00,18382.668
2018-08-24 23:00:00,17748.771
2018-08-25 00:00:00,17001.367
2018-08-25 01:00:00,16135.885
2018-08-25 02:00:00,15276.605
2018-08-25 03:00:00,14511.247
2018-08-25 04:00:00,13879.916
2018-08-25 05:00:00,13455.331
2018-08-25 06:00:00,13365.528
2018-08-25 07:00:00,13588.378
2018-08-25 08:00:00,14102.466
2018-08-25 09:00:00,14896.366
2018-08-25 10:00:00,15832.306
2018-08-25 11:00:00,16852.637
2018-08-25 12:00:00,17812.693
2018-08-25 13:00:00,18601.643
2018-08-25 14:00:00,19207.139
2018-08-25 15:00:00,19629.686
2018-08-25 16:00:00,19909.568
2018-08-25 17:00:00,19999.143
2018-08-25 18:00:00,19866.824
2018-08-25 19:00:00,19606.09
2018-08-25 20:00:00,19260.746
2018-08-25 21:00:00,18834.34
2018-08-25 22:00:00,18319.752
2018-08-25 23:00:00,17625.135
2018-08-26 00:00:00,16832.438
2018-08-26 01:00:00,15937.769
2018-08-26 02:00:00,15022.0625
2018-08-26 03:00:00,14197.564
2018-08-26 04:00:00,13548.146
2018-08-26 05:00:00,13122.167
2018-08-26 06:00:00,12998.657
2018-08-26 07:00:00,13197.907
2018-08-26 08:00:00,13689.792
2018-08-26 09:00:00,14462.851
2018-08-26 10:00:00,15401.64
2018-08-26 11:00:00,16409.225
2018-08-26 12:00:00,17337.492
2018-08-26 13:00:00,18114.955
2018-08-26 14:00:00,18683.14
2018-08-26 15:00:00,19084.727
2018-08-26 16:00:00,19369.352
2018-08-26 17:00:00,19450.223
2018-08-26 18:00:00,19335.303
2018-08-26 19:00:00,19069.008
2018-08-26 20:00:00,18719.852
2018-08-26 21:00:00,18295.19
2018-08-26 22:00:00,17796.191
2018-08-26 23:00:00,17086.094
2018-08-27 00:00:00,16238.754
2018-08-27 01:00:00,15324.394
2018-08-27 02:00:00,14377.603
2018-08-27 03:00:00,13561.226
2018-08-27 04:00:00,12927.301
2018-08-27 05:00:00,12543.77
2018-08-27 06:00:00,12461.273
2018-08-27 07:00:00,12685.586
2018-08-27 08:00:00,13200.465
2018-08-27 09:00:00,13979.35
2018-08-27 10:00:00,14914.455
2018-08-27 11:00:00,15923.062
2018-08-27 12:00:00,16856.445
2018-08-27 13:00:00,17605.236
2018-08-27 14:00:00,18217.834
2018-08-27 15:00:00,18628.871
2018-08-27 16:00:00,18914.309
2018-08-27 17:00:00,18983.582
2018-08-27 18:00:00,18846.08
2018-08-27 19:00:00,18577.84
2018-08-27 20:00:00,18215.217
2018-08-27 21:00:00,17820.51
2018-08-27 22:00:00,17353.977
2018-08-27 23:00:00,16697.57
2018-08-28 00:00:00,15880.499
2018-08-28 01:00:00,14996.597
2018-08-28 02:00:00,14102.06
2018-08-28 03:00:00,13293.98
2018-08-28 04:00:00,12687.076
2018-08-28 05:00:00,12302.101
2018-08-28 06:00:00,12223.676
2018-08-28 07:00:00,12500.054
2018-08-28 08:00:00,13046.045
2018-08-28 09:00:00,13848.233
2018-08-28 10:00:00,14787.832
2018-08-28 11:00:00,15814.48
2018-08-28 12:00:00,16771.135
2018-08-28 13:00:00,17562.227
2018-08-28 14:00:00,18176.953
2018-08-28 15:00:00,18624.129
2018-08-28 16:00:00,18927.262
2018-08-28 17:00:00,19010.637
2018-08-28 18:00:00,18864.904
2018-08-28 19:00:00,18575.197
2018-08-28 20:00:00,18221.703
2018-08-28 21:00:00,17821.096
2018-08-28 22:00:00,17349.418
2018-08-28 23:00:00,16734.89
2018-08-29 00:00:00,16030.804
2018-08-29 01:00:00,15229.24
2018-08-29 02:00:00,14396.74
2018-08-29 03:00:00,13628.228
2018-08-29 04:00:00,13024.529
2018-08-29 05:00:00,12637.028
2018-08-29 06:00:00,12613.581
2018-08-29 07:00:00,12891.718
2018-08-29 08:00:00,13436.238
2018-08-29 09:00:00,14211.712
2018-08-29 10:00:00,15141.467
2018-08-29 11:00:00,16182.017
2018-08-29 12:00:00,17219.086
2018-08-29 13:00:00,18109.13
2018-08-29 14:00:00,18767.598
2018-08-29 15:00:00,19237.736
2018-08-29 16:00:00,19528.766
2018-08-29 17:00:00,19616.71
2018-08-29 18:00:00,19474.252
2018-08-29 19:00:00,19168.639
2018-08-29 20:00:00,18775.664
2018-08-29 21:00:00,18312.996
2018-08-29 22:00:00,17807.24
2018-08-29 23:00:00,17169.791
2018-08-30 00:00:00,16463.729
2018-08-30 01:00:00,15660.7705
2018-08-30 02:00:00,14801.727
2018-08-30 03:00:00,14018.8955
2018-08-30 04:00:00,13381.012
2018-08-30 05:00:00,13006.948
2018-08-30 06:00:00,12964.487
2018-08-30 07:00:00,13235.437
2018-08-30 08:00:00,13772.271
2018-08-30 09:00:00,14585.731
2018-08-30 10:00:00,15523.732
2018-08-30 11:00:00,16586.264
2018-08-30 12:00:00,17640.021
2018-08-30 13:00:00,18536.738
2018-08-30 14:00:00,19224.498
2018-08-30 15:00:00,19668.496
2018-08-30 16:00:00,19941.992
2018-08-30 17:00:00,20006.402
2018-08-30 18:00:00,19846.63
2018-08-30 19:00:00,19518.893
2018-08-30 20:00:00,19078.898
2018-08-30 21:00:00,18649.326
2018-08-30 22:00:00,18137.578
2018-08-30 23:00:00,17532.398
2018-08-31 00:00:00,16824.293
2018-08-31 01:00:00,16007.205
2018-08-31 02:00:00,15183.167
2018-08-31 03:00:00,14427.43
2018-08-31 04:00:00,13822.659
2018-08-31 05:00:00,13448.984
2018-08-31 06:00:00,13362.853
2018-08-31 07:00:00,13617.117
2018-08-31 08:00:00,14121.428
2018-08-31 09:00:00,14879.6455
2018-08-31 10:00:00,15778.082
2018-08-31 11:00:00,16813.578
2018-08-31 12:00:00,17808.01
2018-08-31 13:00:00,18638.408
2018-08-31 14:00:00,19285.947
2018-08-31 15:00:00,19719.975
2018-08-31 16:00:00,19984.957
2018-08-31 17:00:00,20030.164
2018-08-31 18:00:00,19871.334
2018-08-31 19:00:00,19534.605
2018-08-31 20:00:00,19096.484
2018-08-31 21:00:00,18628.938
2018-08-31 22:00:00,18103.428
2018-08-31 23:00:00,17475.178
2018-09-01 00:00:00,16743.598
2018-09-01 01:00:00,15875.584
2018-09-01 02:00:00,15015.944
2018-09-01 03:00:00,14251.049
2018-09-01 04:00:00,13634.246
2018-09-01 05:00:00,13246.274
2018-09-01 06:00:00,13149.629
2018-09-01 07:00:00,13384.9
2018-09-01 08:00:00,13890.741
2018-09-01 09:00:00,14672.224
2018-09-01 10:00:00,15602.111
2018-09-01 11:00:00,16591.268
2018-09-01 12:00:00,17544.154
2018-09-01 13:00:00,18318.48
2018-09-01 14:00:00,18942.9
2018-09-01 15:00:00,19375.604
2018-09-01 16:00:00,19648.205
2018-09-01 17:00:00,19708.312
2018-09-01 18:00:00,19563.562
2018-09-01 19:00:00,19264.424
2018-09-01 20:00:00,18872.746
2018-09-01 21:00:00,18432.955
2018-09-01 22:00:00,17907.03
2018-09-01 23:00:00,17251.703
2018-09-02 00:00:00,16484.652
